+,17_1_1_REAL.pgm,17_1_2_REAL.pgm,33_1_1_REAL.pgm,33_1_2_REAL.pgm,33_2_3_REAL.pgm,88_1_1_REAL.pgm,88_1_2_REAL.pgm,88_2_1_REAL.pgm,93_1_2_REAL.pgm,93_2_2_REAL.pgm,93_2_4_REAL.pgm
17_1_1_REAL.pgm,1.0,0.9302207341269841,0.9319857804232804,0.9306960978835979,0.9309337797619047,0.9315378929349517,0.9333756670771757,0.9321823715361851,0.9312520667989418,0.9340319113756613,0.9302186673280424
17_1_2_REAL.pgm,0.9302207341269841,1.0,0.9304539097059589,0.9296305783242259,0.9293236078584439,0.930042503112356,0.9304016146688561,0.9291977737422653,0.9290308678116055,0.9299029892011449,0.9298318371064273
33_1_1_REAL.pgm,0.9319857804232804,0.9304539097059589,1.0,0.9305395545314901,0.93023435467083,0.9308449074074074,0.9321355877120964,0.9309044592413237,0.9303955453149002,0.9330197132616488,0.9302235343061956
33_1_2_REAL.pgm,0.9306960978835979,0.9296305783242259,0.9305395545314901,1.0,0.9295533274785324,0.9298212340491753,0.9308377805145046,0.93001118173258,0.9296934051398337,0.9306615623399898,0.9299453577727387
33_2_3_REAL.pgm,0.9309337797619047,0.9293236078584439,0.93023435467083,0.9295533274785324,1.0,0.930113017429194,0.9332131739189928,0.9301393933279527,0.9299741412958626,0.930785275175644,0.9293764637002342
88_1_1_REAL.pgm,0.9315378929349517,0.930042503112356,0.9308449074074074,0.9298212340491753,0.930113017429194,1.0,0.9311075124494242,0.9304242530345471,0.9306844265483971,0.9312023420479303,0.9295197245564892
88_1_2_REAL.pgm,0.9333756670771757,0.9304016146688561,0.9321355877120964,0.9308377805145046,0.9332131739189928,0.9311075124494242,1.0,0.9313936781609196,0.9302840209359606,0.9329993671319102,0.9301279419813903
88_2_1_REAL.pgm,0.9321823715361851,0.9291977737422653,0.9309044592413237,0.93001118173258,0.9301393933279527,0.9304242530345471,0.9313936781609196,1.0,0.9298472390368577,0.9323631288673662,0.9298325262308313
93_1_2_REAL.pgm,0.9312520667989418,0.9290308678116055,0.9303955453149002,0.9296934051398337,0.9299741412958626,0.9306844265483971,0.9302840209359606,0.9298472390368577,1.0,0.9319816468253969,0.929502442002442
93_2_2_REAL.pgm,0.9340319113756613,0.9299029892011449,0.9330197132616488,0.9306615623399898,0.930785275175644,0.9312023420479303,0.9329993671319102,0.9323631288673662,0.9319816468253969,1.0,0.9298275089605734
93_2_4_REAL.pgm,0.9302186673280424,0.9298318371064273,0.9302235343061956,0.9299453577727387,0.9293764637002342,0.9295197245564892,0.9301279419813903,0.9298325262308313,0.929502442002442,0.9298275089605734,1.0
