+,17_1_1_ABS.pgm,17_1_2_ABS.pgm,33_1_1_ABS.pgm,33_1_2_ABS.pgm,33_2_3_ABS.pgm,88_1_1_ABS.pgm,88_1_2_ABS.pgm,88_2_1_ABS.pgm,93_1_2_ABS.pgm,93_2_2_ABS.pgm,93_2_4_ABS.pgm
17_1_1_ABS.pgm,1.0,0.9170875725429469,0.9185434845539887,0.9230524260922792,0.922927390152557,0.9158816218017479,0.9200543164467635,0.914367631263098,0.917565598420884,0.9199350897683697,0.9190922382398984
17_1_2_ABS.pgm,0.9170875725429469,1.0,0.9197186450538117,0.9226053593104753,0.9216408200440761,0.9160435913469376,0.9223450934584437,0.9161236448995217,0.9181856994734381,0.9208568267063715,0.919550306738483
33_1_1_ABS.pgm,0.9185434845539887,0.9197186450538117,1.0,0.9241354890593305,0.9241098118962887,0.9165119826397082,0.921928554781296,0.9163614959322248,0.9203766986250941,0.9227348593705597,0.9199788744228476
33_1_2_ABS.pgm,0.9230524260922792,0.9226053593104753,0.9241354890593305,1.0,0.9281234748657882,0.9220067299761312,0.9272681776087706,0.9217018699880997,0.9245955731079003,0.9264351674028551,0.9242308479969754
33_2_3_ABS.pgm,0.922927390152557,0.9216408200440761,0.9241098118962887,0.9281234748657882,1.0,0.9204328267477203,0.9256774237691126,0.9201570790692981,0.9240654134313572,0.9255977013130415,0.9238735047670558
88_1_1_ABS.pgm,0.9158816218017479,0.9160435913469376,0.9165119826397082,0.9220067299761312,0.9204328267477203,1.0,0.9203662340569448,0.9134472032317454,0.9176253646052532,0.9197452787047938,0.9187158802292654
88_1_2_ABS.pgm,0.9200543164467635,0.9223450934584437,0.921928554781296,0.9272681776087706,0.9256774237691126,0.9203662340569448,1.0,0.9189979382148876,0.9220802271920483,0.9253412594984518,0.9227232976182586
88_2_1_ABS.pgm,0.914367631263098,0.9161236448995217,0.9163614959322248,0.9217018699880997,0.9201570790692981,0.9134472032317454,0.9189979382148876,1.0,0.9156985359804096,0.9189559688657705,0.9160807410723857
93_1_2_ABS.pgm,0.917565598420884,0.9181856994734381,0.9203766986250941,0.9245955731079003,0.9240654134313572,0.9176253646052532,0.9220802271920483,0.9156985359804096,1.0,0.922244811384938,0.9200823660978393
93_2_2_ABS.pgm,0.9199350897683697,0.9208568267063715,0.9227348593705597,0.9264351674028551,0.9255977013130415,0.9197452787047938,0.9253412594984518,0.9189559688657705,0.922244811384938,1.0,0.9218992620339689
93_2_4_ABS.pgm,0.9190922382398984,0.919550306738483,0.9199788744228476,0.9242308479969754,0.9238735047670558,0.9187158802292654,0.9227232976182586,0.9160807410723857,0.9200823660978393,0.9218992620339689,1.0
