+,17_1_1_COMPLEX.pgm,17_1_2_COMPLEX.pgm,33_1_1_COMPLEX.pgm,33_1_2_COMPLEX.pgm,33_2_3_COMPLEX.pgm,88_1_1_COMPLEX.pgm,88_1_2_COMPLEX.pgm,88_2_1_COMPLEX.pgm,93_1_2_COMPLEX.pgm,93_2_2_COMPLEX.pgm,93_2_4_COMPLEX.pgm
17_1_1_COMPLEX.pgm,1.0,0.9370639054232804,0.9372209821428571,0.9267505787037037,0.9289517195767196,0.9412251011515718,0.9480406746031746,0.9461153988431531,0.9282676091269841,0.9327897652116403,0.9302207341269841
17_1_2_COMPLEX.pgm,0.9370639054232804,1.0,0.9399243564195372,0.9421916304038391,0.9416812395786734,0.9389429391448169,0.9349043856048166,0.9353096217952221,0.9426105168977998,0.9409837732319329,0.9421306275163691
33_1_1_COMPLEX.pgm,0.9372209821428571,0.9399243564195372,1.0,0.9410155968662223,0.9409248037740453,0.9393515590796322,0.9361423269020251,0.936207106735551,0.9415177535391042,0.9398452317122943,0.9415897760101152
33_1_2_COMPLEX.pgm,0.9267505787037037,0.9421916304038391,0.9410155968662223,1.0,0.9547216234901785,0.9345016296152162,0.9215008381226054,0.9235771605846473,0.9559782480291706,0.9485739550739831,0.9544326925348685
33_2_3_COMPLEX.pgm,0.9289517195767196,0.9416812395786734,0.9409248037740453,0.9547216234901785,1.0,0.9355475020674223,0.9248747092227696,0.9264566790114634,0.9528793362885843,0.9468522510065477,0.9515413396234088
88_1_1_COMPLEX.pgm,0.9412251011515718,0.9389429391448169,0.9393515590796322,0.9345016296152162,0.9355475020674223,1.0,0.9417503112356054,0.9409305989855615,0.9355377730213552,0.9367271489030501,0.9358296444033662
88_1_2_COMPLEX.pgm,0.9480406746031746,0.9349043856048166,0.9361423269020251,0.9215008381226054,0.9248747092227696,0.9417503112356054,1.0,0.9493620005473454,0.9235790400930487,0.9302348453749316,0.9254049500547346
88_2_1_COMPLEX.pgm,0.9461153988431531,0.9353096217952221,0.936207106735551,0.9235771605846473,0.9264566790114634,0.9409305989855615,0.9493620005473454,1.0,0.9248508745749032,0.9310176680524787,0.926904370562494
93_1_2_COMPLEX.pgm,0.9282676091269841,0.9426105168977998,0.9415177535391042,0.9559782480291706,0.9528793362885843,0.9355377730213552,0.9235790400930487,0.9248508745749032,1.0,0.9476516673202039,0.9525662359074567
93_2_2_COMPLEX.pgm,0.9327897652116403,0.9409837732319329,0.9398452317122943,0.9485739550739831,0.9468522510065477,0.9367271489030501,0.9302348453749316,0.9310176680524787,0.9476516673202039,1.0,0.9467553876809565
93_2_4_COMPLEX.pgm,0.9302207341269841,0.9421306275163691,0.9415897760101152,0.9544326925348685,0.9515413396234088,0.9358296444033662,0.9254049500547346,0.926904370562494,0.9525662359074567,0.9467553876809565,1.0
